OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
Gladsaxe;10 år;2013K4;Ugift;822
Gladsaxe;10 år;2013K4;Gift/separeret;0
Gladsaxe;10 år;2013K4;Enke/enkemand;0
Gladsaxe;10 år;2014K4;Ugift;775
Gladsaxe;10 år;2014K4;Gift/separeret;0
Gladsaxe;10 år;2014K4;Enke/enkemand;0
Gladsaxe;10 år;2019K1;Ugift;939
Gladsaxe;10 år;2019K1;Gift/separeret;0
Gladsaxe;10 år;2019K1;Enke/enkemand;0
Gladsaxe;18 år;2008K1;Ugift;766
Gladsaxe;18 år;2008K1;Gift/separeret;0
Gladsaxe;18 år;2008K1;Enke/enkemand;0
Gladsaxe;18 år;2009K2;Ugift;772
Gladsaxe;18 år;2009K2;Gift/separeret;1
Gladsaxe;18 år;2009K2;Enke/enkemand;0
Gladsaxe;18 år;2010K1;Ugift;785
Gladsaxe;18 år;2010K1;Gift/separeret;0
Gladsaxe;18 år;2010K1;Enke/enkemand;0
Gladsaxe;18 år;2013K4;Ugift;958
Gladsaxe;18 år;2013K4;Gift/separeret;0
Gladsaxe;18 år;2013K4;Enke/enkemand;0
Gladsaxe;18 år;2014K4;Ugift;813
Gladsaxe;18 år;2014K4;Gift/separeret;2
Gladsaxe;18 år;2014K4;Enke/enkemand;0
Gladsaxe;18 år;2019K1;Ugift;836
Gladsaxe;18 år;2019K1;Gift/separeret;0
Gladsaxe;18 år;2019K1;Enke/enkemand;0
Gladsaxe;27 år;2008K1;Ugift;502
Gladsaxe;27 år;2008K1;Gift/separeret;168
Gladsaxe;27 år;2008K1;Enke/enkemand;0
Gladsaxe;27 år;2009K2;Ugift;502
Gladsaxe;27 år;2009K2;Gift/separeret;158
Gladsaxe;27 år;2009K2;Enke/enkemand;0
Gladsaxe;27 år;2010K1;Ugift;522
Gladsaxe;27 år;2010K1;Gift/separeret;191
Gladsaxe;27 år;2010K1;Enke/enkemand;0
Gladsaxe;27 år;2013K4;Ugift;591
Gladsaxe;27 år;2013K4;Gift/separeret;126
Gladsaxe;27 år;2013K4;Enke/enkemand;1
Gladsaxe;27 år;2014K4;Ugift;636
Gladsaxe;27 år;2014K4;Gift/separeret;125
Gladsaxe;27 år;2014K4;Enke/enkemand;1
Gladsaxe;27 år;2019K1;Ugift;771
Gladsaxe;27 år;2019K1;Gift/separeret;182
Gladsaxe;27 år;2019K1;Enke/enkemand;0
Gladsaxe;77 år;2008K1;Ugift;23
Gladsaxe;77 år;2008K1;Gift/separeret;192
Gladsaxe;77 år;2008K1;Enke/enkemand;142
Gladsaxe;77 år;2009K2;Ugift;20
Gladsaxe;77 år;2009K2;Gift/separeret;189
Gladsaxe;77 år;2009K2;Enke/enkemand;130
Gladsaxe;77 år;2010K1;Ugift;25
Gladsaxe;77 år;2010K1;Gift/separeret;196
Gladsaxe;77 år;2010K1;Enke/enkemand;128
Gladsaxe;77 år;2013K4;Ugift;21
Gladsaxe;77 år;2013K4;Gift/separeret;193
Gladsaxe;77 år;2013K4;Enke/enkemand;108
Gladsaxe;77 år;2014K4;Ugift;25
Gladsaxe;77 år;2014K4;Gift/separeret;182
Gladsaxe;77 år;2014K4;Enke/enkemand;109
Gladsaxe;77 år;2019K1;Ugift;24
Gladsaxe;77 år;2019K1;Gift/separeret;206
Gladsaxe;77 år;2019K1;Enke/enkemand;86
Gladsaxe;25 år;2008K1;Ugift;594
Gladsaxe;25 år;2008K1;Gift/separeret;71
Gladsaxe;25 år;2008K1;Enke/enkemand;0
Gladsaxe;25 år;2009K2;Ugift;577
Gladsaxe;25 år;2009K2;Gift/separeret;88
Gladsaxe;25 år;2009K2;Enke/enkemand;0
Gladsaxe;25 år;2010K1;Ugift;588
Gladsaxe;25 år;2010K1;Gift/separeret;78
Gladsaxe;25 år;2010K1;Enke/enkemand;0
Gladsaxe;25 år;2013K4;Ugift;707
Gladsaxe;25 år;2013K4;Gift/separeret;92
Gladsaxe;25 år;2013K4;Enke/enkemand;0
Gladsaxe;25 år;2014K4;Ugift;779
Gladsaxe;25 år;2014K4;Gift/separeret;92
Gladsaxe;25 år;2014K4;Enke/enkemand;0
Gladsaxe;25 år;2019K1;Ugift;907
Gladsaxe;25 år;2019K1;Gift/separeret;104
Gladsaxe;25 år;2019K1;Enke/enkemand;0
Gladsaxe;33 år;2008K1;Ugift;379
Gladsaxe;33 år;2008K1;Gift/separeret;488
Gladsaxe;33 år;2008K1;Enke/enkemand;0
Gladsaxe;33 år;2009K2;Ugift;332
Gladsaxe;33 år;2009K2;Gift/separeret;430
Gladsaxe;33 år;2009K2;Enke/enkemand;1
Gladsaxe;33 år;2010K1;Ugift;282
Gladsaxe;33 år;2010K1;Gift/separeret;418
Gladsaxe;33 år;2010K1;Enke/enkemand;0
Gladsaxe;33 år;2013K4;Ugift;406
Gladsaxe;33 år;2013K4;Gift/separeret;454
Gladsaxe;33 år;2013K4;Enke/enkemand;0
Gladsaxe;33 år;2014K4;Ugift;320
Gladsaxe;33 år;2014K4;Gift/separeret;423
Gladsaxe;33 år;2014K4;Enke/enkemand;1
Gladsaxe;33 år;2019K1;Ugift;388
Gladsaxe;33 år;2019K1;Gift/separeret;444
Gladsaxe;33 år;2019K1;Enke/enkemand;1
Kalundborg;10 år;2008K1;Ugift;609
Kalundborg;10 år;2008K1;Gift/separeret;0
Kalundborg;10 år;2008K1;Enke/enkemand;0
Kalundborg;10 år;2009K2;Ugift;664
Kalundborg;10 år;2009K2;Gift/separeret;0
Kalundborg;10 år;2009K2;Enke/enkemand;0
Kalundborg;10 år;2010K1;Ugift;636
Kalundborg;10 år;2010K1;Gift/separeret;0
Kalundborg;10 år;2010K1;Enke/enkemand;0
Kalundborg;10 år;2013K4;Ugift;549
Kalundborg;10 år;2013K4;Gift/separeret;0
Kalundborg;10 år;2013K4;Enke/enkemand;0
Kalundborg;10 år;2014K4;Ugift;585
Kalundborg;10 år;2014K4;Gift/separeret;0
Kalundborg;10 år;2014K4;Enke/enkemand;0
Kalundborg;10 år;2019K1;Ugift;580
Kalundborg;10 år;2019K1;Gift/separeret;0
Kalundborg;10 år;2019K1;Enke/enkemand;0
Kalundborg;18 år;2008K1;Ugift;604
Kalundborg;18 år;2008K1;Gift/separeret;0
Kalundborg;18 år;2008K1;Enke/enkemand;0
Kalundborg;18 år;2009K2;Ugift;603
Kalundborg;18 år;2009K2;Gift/separeret;0
Kalundborg;18 år;2009K2;Enke/enkemand;0
Kalundborg;18 år;2010K1;Ugift;677
Kalundborg;18 år;2010K1;Gift/separeret;0
Kalundborg;18 år;2010K1;Enke/enkemand;0
Kalundborg;18 år;2013K4;Ugift;636
Kalundborg;18 år;2013K4;Gift/separeret;0
Kalundborg;18 år;2013K4;Enke/enkemand;0
Kalundborg;18 år;2014K4;Ugift;636
Kalundborg;18 år;2014K4;Gift/separeret;0
Kalundborg;18 år;2014K4;Enke/enkemand;0
Kalundborg;18 år;2019K1;Ugift;601
Kalundborg;18 år;2019K1;Gift/separeret;0
Kalundborg;18 år;2019K1;Enke/enkemand;0
Kalundborg;27 år;2008K1;Ugift;305
Kalundborg;27 år;2008K1;Gift/separeret;128
Kalundborg;27 år;2008K1;Enke/enkemand;0
Kalundborg;27 år;2009K2;Ugift;269
Kalundborg;27 år;2009K2;Gift/separeret;109
Kalundborg;27 år;2009K2;Enke/enkemand;0
Kalundborg;27 år;2010K1;Ugift;286
Kalundborg;27 år;2010K1;Gift/separeret;89
Kalundborg;27 år;2010K1;Enke/enkemand;1
Kalundborg;27 år;2013K4;Ugift;317
Kalundborg;27 år;2013K4;Gift/separeret;70
Kalundborg;27 år;2013K4;Enke/enkemand;0
Kalundborg;27 år;2014K4;Ugift;287
Kalundborg;27 år;2014K4;Gift/separeret;57
Kalundborg;27 år;2014K4;Enke/enkemand;0
Kalundborg;27 år;2019K1;Ugift;374
Kalundborg;27 år;2019K1;Gift/separeret;75
Kalundborg;27 år;2019K1;Enke/enkemand;0
Kalundborg;77 år;2008K1;Ugift;22
Kalundborg;77 år;2008K1;Gift/separeret;171
Kalundborg;77 år;2008K1;Enke/enkemand;119
Kalundborg;77 år;2009K2;Ugift;9
Kalundborg;77 år;2009K2;Gift/separeret;171
Kalundborg;77 år;2009K2;Enke/enkemand;113
Kalundborg;77 år;2010K1;Ugift;14
Kalundborg;77 år;2010K1;Gift/separeret;158
Kalundborg;77 år;2010K1;Enke/enkemand;109
Kalundborg;77 år;2013K4;Ugift;17
Kalundborg;77 år;2013K4;Gift/separeret;211
Kalundborg;77 år;2013K4;Enke/enkemand;103
Kalundborg;77 år;2014K4;Ugift;16
Kalundborg;77 år;2014K4;Gift/separeret;222
Kalundborg;77 år;2014K4;Enke/enkemand;122
Kalundborg;77 år;2019K1;Ugift;17
Kalundborg;77 år;2019K1;Gift/separeret;289
Kalundborg;77 år;2019K1;Enke/enkemand;96
Kalundborg;25 år;2008K1;Ugift;303
Kalundborg;25 år;2008K1;Gift/separeret;70
Kalundborg;25 år;2008K1;Enke/enkemand;0
Kalundborg;25 år;2009K2;Ugift;301
Kalundborg;25 år;2009K2;Gift/separeret;56
Kalundborg;25 år;2009K2;Enke/enkemand;0
Kalundborg;25 år;2010K1;Ugift;278
Kalundborg;25 år;2010K1;Gift/separeret;55
Kalundborg;25 år;2010K1;Enke/enkemand;0
Kalundborg;25 år;2013K4;Ugift;346
Kalundborg;25 år;2013K4;Gift/separeret;36
Kalundborg;25 år;2013K4;Enke/enkemand;1
Kalundborg;25 år;2014K4;Ugift;327
Kalundborg;25 år;2014K4;Gift/separeret;47
Kalundborg;25 år;2014K4;Enke/enkemand;0
Kalundborg;25 år;2019K1;Ugift;385
Kalundborg;25 år;2019K1;Gift/separeret;36
Kalundborg;25 år;2019K1;Enke/enkemand;0
Kalundborg;33 år;2008K1;Ugift;250
Kalundborg;33 år;2008K1;Gift/separeret;322
Kalundborg;33 år;2008K1;Enke/enkemand;1
Kalundborg;33 år;2009K2;Ugift;236
Kalundborg;33 år;2009K2;Gift/separeret;316
